experiment,dataset,k,seed,beta,two_hop_threshold,jet_cut,sclp_cut,sclp_core_seconds,total_coarsen_seconds,levels,coarsest_vertices
twohop,products,4,0,64,0.50,,2179926,,,7,60530
twohop,products,4,0,64,0.60,1973670,2126129,4.15849,34.3514,8,61799
twohop,products,4,0,64,0.70,2078527,2129986,4.38058,33.9510,8,61799
twohop,products,4,0,64,off,2177058,2245583,2.42730,28.4394,8,84088
twohop,com-LiveJournal,4,0,64,0.50,,3544983,,,16,431
twohop,com-LiveJournal,4,0,64,0.60,3445736,3540538,6.50523,28.7003,17,452
twohop,com-LiveJournal,4,0,64,0.70,3575060,3689202,6.83825,30.1068,18,416
twohop,com-LiveJournal,4,0,64,off,3494933,3522126,2.13559,25.1010,9,67742
beta,products,4,0,64,0.60,1973670,2126129,4.15849,34.3514,8,61799
beta,products,4,0,128,0.60,,2230579,2.54827,31.8976,8,64500
beta,products,4,0,160,0.60,,2278128,4.26756,32.3302,8,62240
beta,products,4,0,256,0.60,2209242,2075266,2.65217,30.2414,8,64404
beta,com-LiveJournal,4,0,64,0.60,3445736,3540538,6.50523,28.7003,17,452
beta,com-LiveJournal,4,0,128,0.60,,3469154,6.33613,27.3076,16,876
beta,com-LiveJournal,4,0,160,0.60,,3530417,2.55691,25.8852,16,1064
beta,com-LiveJournal,4,0,256,0.60,3465798,3541543,2.49109,25.3148,15,1772
multiseed,products,4,0,256,0.60,2209242,2075266,2.65217,30.2414,8,64404
multiseed,products,4,1,256,0.60,1977961,2233352,2.55076,32.4345,8,64018
multiseed,products,4,2,256,0.60,2082121,2085404,2.53666,32.2337,8,64356
multiseed,products,4,3,256,0.60,2125378,2133639,2.53551,34.4091,8,64166
multiseed,products,4,4,256,0.60,2097870,2084327,2.63628,29.4778,8,64462
multiseed,com-LiveJournal,4,0,256,0.60,3465798,3541543,2.49109,25.3148,15,1772
multiseed,com-LiveJournal,4,1,256,0.60,3677244,3525457,2.55459,26.7081,15,1768
multiseed,com-LiveJournal,4,2,256,0.60,3453557,3479643,2.48598,30.0022,15,1773
multiseed,com-LiveJournal,4,3,256,0.60,3465070,3510102,2.48844,42.7164,15,1771
multiseed,com-LiveJournal,4,4,256,0.60,3461701,3529943,2.41640,26.4048,15,1801
